,AUROC,AUPR-IN,AUPR-OUT,FPR95TPR,Method,Dataset,Seed
194,0.9627487659454346,0.9805986881256104,0.938582718372345,0.1537500023841858,Mahalanobis,ImageNetO,3
195,0.984684944152832,0.9911446571350098,0.978942334651947,0.04749999940395355,ViM,ImageNetO,3
196,0.9966793060302734,0.9986559748649597,0.9923460483551025,0.013749999925494194,Entropy,ImageNetO,3
197,0.9972418546676636,0.9988189339637756,0.9944252967834473,0.013749999925494194,MaxLogit,ImageNetO,3
198,0.946395218372345,0.9981846809387207,0.8071041107177734,0.09375,Logic-based,ImageNetR,3
199,0.957050085067749,0.9988110065460205,0.8371956944465637,0.07750000059604645,Logic-based-OE,ImageNetR,3
200,0.8204582929611206,0.9949132800102234,0.5029237866401672,1.0,Logic-only,ImageNetR,3
201,0.9396833777427673,0.9983622431755066,0.6438510417938232,0.07750000059604645,Logic-only-OE,ImageNetR,3
202,0.9819006323814392,0.9994122982025146,0.8230161666870117,0.07374999672174454,Ensemble,ImageNetR,3
203,0.9730505347251892,0.9991664886474609,0.6873528957366943,0.12999999523162842,MSP,ImageNetR,3
204,0.989177942276001,0.9996787309646606,0.7835463881492615,0.036249998956918716,Energy,ImageNetR,3
205,0.9758159518241882,0.9991869926452637,0.8136881589889526,0.0949999988079071,Mahalanobis,ImageNetR,3
206,0.9901012778282166,0.9996620416641235,0.9240848422050476,0.03500000014901161,ViM,ImageNetR,3
207,0.9842121005058289,0.9995415210723877,0.726804256439209,0.06875000149011612,Entropy,ImageNetR,3
208,0.9870748519897461,0.9996083378791809,0.7734601497650146,0.04374999925494194,MaxLogit,ImageNetR,3
209,0.9398881196975708,0.9913907051086426,0.8742995262145996,0.11999999731779099,Logic-based,ImageNetA,3
210,0.9521541595458984,0.9944234490394592,0.8966353535652161,0.09125000238418579,Logic-based-OE,ImageNetA,3
211,0.7769251465797424,0.9757269024848938,0.5710117220878601,1.0,Logic-only,ImageNetA,3
212,0.9057316184043884,0.9900106191635132,0.7003278732299805,1.0,Logic-only-OE,ImageNetA,3
213,0.975317120552063,0.9967885613441467,0.8961068391799927,0.10499999672174454,Ensemble,ImageNetA,3
214,0.9706448316574097,0.9964088201522827,0.8455122709274292,0.14000000059604645,MSP,ImageNetA,3
215,0.9866727590560913,0.99845951795578,0.9073161482810974,0.04749999940395355,Energy,ImageNetA,3
216,0.9608463048934937,0.9944068193435669,0.8623104691505432,0.17000000178813934,Mahalanobis,ImageNetA,3
217,0.9848803281784058,0.9977207779884338,0.9551940560340881,0.05375000089406967,ViM,ImageNetA,3
218,0.9817085266113281,0.9978986382484436,0.8769493699073792,0.07999999821186066,Entropy,ImageNetA,3
219,0.9847143292427063,0.9981857538223267,0.9020799398422241,0.05624999850988388,MaxLogit,ImageNetA,3
220,0.9508157968521118,0.9952942132949829,0.9287874698638916,0.08250000327825546,Logic-based,FoolingImages,4
221,0.9586364030838013,0.9967045187950134,0.960303008556366,0.08250000327825546,Logic-based-OE,FoolingImages,4
222,0.8586249947547913,0.9884997606277466,0.5960205793380737,1.0,Logic-only,FoolingImages,4
223,0.9574999809265137,0.9966209530830383,0.9453365802764893,0.08250000327825546,Logic-only-OE,FoolingImages,4
224,0.9957224726676941,0.9996210932731628,0.9776758551597595,0.02250000089406967,Ensemble,FoolingImages,4
225,0.9892651438713074,0.9990248680114746,0.9418672323226929,0.051249999552965164,MSP,FoolingImages,4
